                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        7623      1.0000000000000000E+001      1.0000000000000000E-004      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96 
                            model_number                                 star_age                                star_mass                             log_abs_mdot                                   log_dt                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups                                     mass                                core_mass                            photosphere_r                                 lambda_g                                 lambda_b                                 lambda_h                              core_radius                             model_number                                      age                              period_days                        binary_separation                             eccentricity                                  v_orb_1                                  v_orb_2                   rl_relative_overflow_1                   rl_relative_overflow_2                                     edot                               edot_tidal                              star_1_mass                              star_2_mass                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                            xfer_fraction                                    J_orb                                 J_spin_1                                  J_total                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                               extra_jdot 
                                       1                  3.1622776601683819E+002                  9.9999999844592029E+000                 -1.0308526725497151E+001                  2.5000000000000000E+000                                     1081                  3.2263885546734370E+000                  3.1921515883630003E-001                  7.8153932547841976E-008                  9.9999999999296230E-001                  9.9999999997985012E-001                  3.1921515883630003E-001                  7.8153932547841976E-008                  9.9999999999296230E-001                  9.9999999997985012E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4890902979797675E+033                  7.1075329641577539E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8855710228825484E+000                 -2.3799301826794771E+001                 -1.2041199826559247E+001                  3.8855710228825484E+000                  4.5222456936961706E+000                  7.5986911059382765E+003                  3.8807387903829373E+000                  4.1913684425175329E-001                  4.5996156642346904E+000                  3.9775501516698794E+004                  4.3878194699651000E-006                  1.0018214576131777E-002                  7.6188504135355073E+000                  1.3681119247457625E+000                  1.7157912685684032E+001                  5.9200212303193123E-001                  8.7969525489681089E-001                  7.5939049982351325E-001                  2.4050964373789893E-001                  6.8809751703776424E-007                  2.3387851776704092E-005                  1.7208053054058310E-005                  4.6802233045694698E-005                  7.5959917876500835E+000                  2.4028904833367797E+000                  2.4376045038999927E+000                  3.8698066708009162E+000                 -2.3799301826794771E+001                  4.1119877569790439E-008                                        0                                        0                  9.9999999844592029E+000                  7.8153932426384524E-007                  2.6250455532148029E+000                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                  3.6130959160139125E-003                  1.0000000000000000E+000                  3.1622776601683819E+002                  1.5000000025901232E+007                  6.7061272310744505E+005                  1.0000000000000001E-001                  1.0056825088473451E+000                  1.2571031341055432E+000                 -9.9998908245049201E-001                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999844592029E+000                  8.0000000000000000E+000                 -1.0308526725497151E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0308526725497151E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  9.2902091736180768E+055                  2.4763498713060980E+050                  9.2902339371167896E+055                 -6.4299073337034520E+036                  0.0000000000000000E+000                 -1.7435679177163327E+019                 -6.4299073337034520E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  1.1510690683012908E+003                  9.9999999442402814E+000                 -1.0320239347348993E+001                  2.6583624920952498E+000                                      997                  3.2844007046108832E+000                  3.2562942922475224E-001                  7.8153932880908883E-008                  9.9999999999296230E-001                  9.9999999997977551E-001                  3.2562942922475224E-001                  7.8153932880908883E-008                  9.9999999999296230E-001                  9.9999999997977551E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5054661803477282E+033                  7.1075329641577551E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8903860568458590E+000                 -2.3804758869726413E+001                 -1.1263048576175603E+001                  3.8903860568458595E+000                  4.5216511363857848E+000                  7.4936976137986430E+003                  3.8746961644305533E+000                  4.1730464589633331E-001                  4.6032800591988448E+000                  4.0112530396056478E+004                  4.4142177827086883E-006                  1.0012102070783813E-002                  7.6188027908607285E+000                  1.3657660647497816E+000                  1.7155629097082745E+001                  5.9201150700607064E-001                  8.7968676701987558E-001                  7.5937352472475850E-001                  2.4052673458121260E-001                  6.9998214111923099E-007                  2.2493464236786552E-005                  1.7208053054058324E-005                  4.6802233045694731E-005                  7.5959259427864696E+000                  2.4029572366513468E+000                  2.4166973368706661E+000                  3.8755439515087700E+000                 -2.3804758869726413E+001                  2.8756931519990984E-008                                        0                                        0                  9.9999999442402814E+000                  7.8153932445124757E-007                  2.6139943581472198E+000                  7.2959284566899130E-001                  1.5177748875139188E+000                  4.6037026198732249E+000                  3.6196072055078659E-003                  3.0000000000000000E+000                  1.1510690683012908E+003                  1.5000000092940230E+007                  6.7061272460607416E+005                  1.0000000000000001E-001                  1.0056825088471786E+000                  1.2571031290494012E+000                 -9.9998912841236409E-001                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999442402814E+000                  8.0000000000000000E+000                 -1.0320239347348993E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0320239347348993E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  9.2902091570132991E+055                  2.4763497942355468E+050                  9.2902339205112410E+055                 -6.2582343017288475E+036                  0.0000000000000000E+000                 -1.7435678910097654E+019                 -6.2588147028032102E+036                  5.8040107436242525E+032                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  3.1401164183259216E+003                  9.9999998533363641E+000                 -1.0349984061887584E+001                  2.8959062302381242E+000                                      997                  3.4153753113368999E+000                  3.3996768216202378E-001                  7.8153933547042698E-008                  9.9999999999296230E-001                  9.9999999997981615E-001                  3.3996768216202378E-001                  7.8153933547042698E-008                  9.9999999999296230E-001                  9.9999999997981615E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5054661803477340E+033                  7.1075329641577643E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8912849840412354E+000                 -2.3833518794771759E+001                 -1.2041199826559247E+001                  3.8912849840412354E+000                  4.5200092559671381E+000                  7.2509240843318003E+003                  3.8603933581781495E+000                  4.1343700360742469E-001                  4.6110153398287546E+000                  4.0833380894302747E+004                  4.4868050763218710E-006                  1.0032354682962045E-002                  7.6183723581220271E+000                  1.3600178527548152E+000                  1.7149659622658913E+001                  5.9204329513581966E-001                  8.7967143696991568E-001                  7.5934286441771925E-001                  2.4055755675638726E-001                  7.1587830852959664E-007                  2.1214743175880970E-005                  1.7208053054058300E-005                  4.6802233045694698E-005                  7.5957685306782992E+000                  2.4031166345557842E+000                  2.4050180640371139E+000                  3.8768736854944312E+000                 -2.3833518794771759E+001                  1.7120576298311040E-008                                        0                                        0                  9.9999998533363641E+000                  7.8153932400808692E-007                  2.5908185840614779E+000                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                  3.6356118881732944E-003                  6.0000000000000000E+000                  3.1401164183259216E+003                  1.5000000244463572E+007                  6.7061272799331544E+005                  1.0000000000000001E-001                  1.0056825088468029E+000                  1.2571031176213718E+000                 -9.9998922480030905E-001                 -9.9999999999999989E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998533363641E+000                  8.0000000000000000E+000                 -1.0349984061887584E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0349984061887584E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  9.2902091194827053E+055                  2.4763496207351820E+050                  9.2902338829789126E+055                 -5.8439604906184574E+036                  0.0000000000000000E+000                 -1.7435678302996099E+019                 -5.8445002824475783E+036                  5.3979182912045341E+032                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  6.5771902391684825E+003                  9.9999997113740662E+000                 -1.0400861278217246E+001                  3.1334499683809987E+000                                      995                  3.5651544862161484E+000                  3.5417230454391169E-001                  7.8153934657265722E-008                  9.9999999999357070E-001                  9.9999999997968381E-001                  3.5417230454391169E-001                  7.8153934657265722E-008                  9.9999999999357070E-001                  9.9999999997968381E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5054661803477282E+033                  6.9825731585216214E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8841410819263560E+000                 -2.3909927380257443E+001                 -9.8999999999999986E+001                  3.8841410819263560E+000                  4.5168126748737372E+000                  6.8772728922819915E+003                  3.8374162576211881E+000                  4.0834161551574488E-001                  4.6212061098467698E+000                  4.1802870992536358E+004                  4.5854069681027858E-006                  1.0058504129791999E-002                  7.6170753386116790E+000                  1.3506713280986840E+000                  1.7139243650213416E+001                  5.9212477664368324E-001                  8.7964180583818552E-001                  7.5928360180487342E-001                  2.4061710629165303E-001                  7.4298126988739306E-007                  1.8947115859927934E-005                  1.7208053054058314E-005                  4.6802233045694711E-005                  7.5954985688888961E+000                  2.4033893860097351E+000                  2.3854297343474591E+000                  3.8701435020032031E+000                 -2.3909927380257443E+001                  1.0582451333617022E-008                                        0                                        0                  9.9999997113740662E+000                  7.8153932401540497E-007                  2.5605992592331708E+000                  7.4833280031319838E-001                  1.5544765372209906E+000                  4.6836543513815263E+000                  3.6617865331523927E-003                  9.0000000000000000E+000                  6.5771902391684825E+003                  1.5000000481093561E+007                  6.7061273328307958E+005                  1.0000000000000001E-001                  1.0056825088462185E+000                  1.2571030997745165E+000                 -9.9998935048235915E-001                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999997113740662E+000                  8.0000000000000000E+000                 -1.0400861278217246E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0400861278217246E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  9.2902090608721285E+055                  2.4763493507816037E+050                  9.2902338243656364E+055                 -5.1979274886591026E+036                  0.0000000000000000E+000                 -1.7435677345603572E+019                 -5.1984057512033533E+036                  4.7826254425081244E+032                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      12                  1.2516453801584426E+004                  9.9999995013594685E+000                 -1.0474754784633950E+001                  3.3709937065238731E+000                                      997                  3.6755947658229422E+000                  3.6745226944472431E-001                  7.8153936211577957E-008                  9.9999999999357070E-001                  9.9999999997915234E-001                  3.6745226944472431E-001                  7.8153936211577957E-008                  9.9999999999357070E-001                  9.9999999997915234E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4400452161707061E+033                  6.9512620984599634E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8610280244961652E+000                 -2.4060146959764150E+001                 -9.8999999999999986E+001                  3.8610280244961648E+000                  4.5118579646853769E+000                  6.4336756182267027E+003                  3.8084591602703988E+000                  4.0377248721707171E-001                  4.6303443573232981E+000                  4.2691789297051291E+004                  4.6732871799110601E-006                  1.0070655887599655E-002                  7.6143885162642873E+000                  1.3377328145295857E+000                  1.7123758870237292E+001                  5.9228711150157387E-001                  8.7958789524064818E-001                  7.5917578010766595E-001                  2.4072536466975253E-001                  7.8237970840160489E-007                  1.5494148785104535E-005                  1.7208053054058310E-005                  4.6802233045694684E-005                  7.5950518463084800E+000                  2.4038395587267014E+000                  2.3544459404706370E+000                  3.8472858584353702E+000                 -2.4060146959764150E+001                  8.0795613798726619E-009                                        0                                        0                  9.9999995013594685E+000                  7.8153932314505924E-007                  2.5338009066985556E+000                  7.6082291944070723E-001                  1.5807379980658451E+000                  4.7635094860887977E+000                  3.6983317046032404E-003                  1.2000000000000000E+001                  1.2516453801584426E+004                  1.5000000831156444E+007                  6.7061274110858736E+005                  1.0000000000000001E-001                  1.0056825088453576E+000                  1.2571030733724391E+000                 -9.9998946193662808E-001                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999995013594685E+000                  8.0000000000000000E+000                 -1.0474754784633950E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0474754784633950E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  9.2902089741654341E+055                  2.4763489529067556E+050                  9.2902337376549631E+055                 -4.3846695842183297E+036                  0.0000000000000000E+000                 -1.7435675914393309E+019                 -4.3850714911695794E+036                  4.0190695124979981E+032                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      15                  2.2779501237439177E+004                  9.9999991958737642E+000                 -1.0545467227379298E+001                  3.6085374446667475E+000                                      994                  3.6755985130119404E+000                  3.6745228066986702E-001                  7.8153938654068611E-008                  9.9999999999296230E-001                  9.9999999997813527E-001                  3.6745228066986702E-001                  7.8153938654068611E-008                  9.9999999999296230E-001                  9.9999999997813527E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3747068172885436E+033                  6.8885698649193780E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8260782320649587E+000                 -2.4263961633726371E+001                 -9.8999999999999986E+001                  3.8260782320649587E+000                  4.5071157787232456E+000                  6.1391046727026132E+003                  3.7881050382328154E+000                  4.0307979812254269E-001                  4.6317297222452796E+000                  4.2828190154226970E+004                  4.6812037678903671E-006                  1.0046929021598297E-002                  7.6106452075494992E+000                  1.3243966980124879E+000                  1.7106612545552142E+001                  5.9253152544417409E-001                  8.7949168180600212E-001                  7.5898335241908066E-001                  2.4091835846659651E-001                  8.3198461036378446E-007                  1.1011759590871778E-005                  1.7208053054058331E-005                  4.6802233045694745E-005                  7.5943348172295062E+000                  2.4045601022134950E+000                  2.3222715091028032E+000                  3.8122465475134923E+000                 -2.4263961633726371E+001                  7.0900437905267579E-009                                        0                                        0                  9.9999991958737642E+000                  7.8153932369505361E-007                  2.5297627773347622E+000                  7.6854272297036808E-001                  1.5969031299093004E+000                  4.8120388314181994E+000                  3.7363816694325120E-003                  1.5000000000000000E+001                  2.2779501237439177E+004                  1.5000001340355204E+007                  6.7061275249150873E+005                  1.0000000000000001E-001                  1.0056825088441088E+000                  1.2571030349681749E+000                 -9.9998947873129251E-001                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999991958737642E+000                  8.0000000000000000E+000                 -1.0545467227379298E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0545467227379298E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  9.2902088480424644E+055                  2.4763483762661741E+050                  9.2902336115262266E+055                 -3.7258432765013364E+036                  0.0000000000000000E+000                 -1.7435673836840253E+019                 -3.7261836012157904E+036                  3.4032471445382860E+032                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      18                  4.0514047206596180E+004                  9.9999987148220519E+000                 -1.0570493693874150E+001                  3.8460811828096220E+000                                      989                  3.5792020317363415E+000                  3.5730614707431740E-001                  7.8153942317804592E-008                  9.9999999999296230E-001                  9.9999999997709510E-001                  3.5730614707431740E-001                  7.8153942317804592E-008                  9.9999999999296230E-001                  9.9999999997709510E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3094660883362612E+033                  6.8099128629120424E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8013127673202716E+000                 -2.4420376811918121E+001                 -1.2041199826559247E+001                  3.8013127673202716E+000                  4.5051649308903734E+000                  6.1134448236555600E+003                  3.7862859968744620E+000                  4.0607197310911003E-001                  4.6257453513803322E+000                  4.2242085511866950E+004                  4.6112327268166197E-006                  9.9944607965659332E-003                  7.6077164633153407E+000                  1.3162125308974781E+000                  1.7095275355660007E+001                  5.9279494292288315E-001                  8.7933286922833598E-001                  7.5866572667578136E-001                  2.4123649992160265E-001                  8.7737550815186215E-007                  6.9324756709976661E-006                  1.7208053054058307E-005                  4.6802233045694664E-005                  7.5931776638038873E+000                  2.4057203476193032E+000                  2.2984844511500930E+000                  3.7874493834765985E+000                 -2.4420376811918121E+001                  5.2161592266167262E-009                                        0                                        0                  9.9999987148220519E+000                  7.8153932273632264E-007                  2.5472523589875591E+000                  7.6851725836728302E-001                  1.5968491742952251E+000                  4.8118491062318345E+000                  3.7599259219180435E-003                  1.8000000000000000E+001                  4.0514047206596180E+004                  1.5000002142195782E+007                  6.7061277041631017E+005                  1.0000000000000001E-001                  1.0056825088421515E+000                  1.2571029744925666E+000                 -9.9998940599239483E-001                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999987148220519E+000                  8.0000000000000000E+000                 -1.0570493693874150E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0570493693874150E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  9.2902086494351441E+055                  2.4763474720541170E+050                  9.2902334129098651E+055                 -3.5172101594147586E+036                  0.0000000000000000E+000                 -1.7435670634634002E+019                 -3.5175299742158376E+036                  3.1981480107874845E+032                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      21                  7.1159342641299474E+004                  9.9999978841483976E+000                 -1.0564762841555817E+001                  4.0836249209524960E+000                                      980                  3.5171249654516221E+000                  3.5102426281574461E-001                  7.8153948757098135E-008                  9.9999999999296230E-001                  9.9999999997648459E-001                  3.5102426281574461E-001                  7.8153948757098135E-008                  9.9999999999296230E-001                  9.9999999997648459E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3094660883362785E+033                  6.7389332908734576E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7945124160428718E+000                 -2.4494364710734086E+001                 -9.8999999999999986E+001                  3.7945124160428714E+000                  4.5047795946111346E+000                  6.1650751834424091E+003                  3.7899383772099453E+000                  4.0866883583532970E-001                  4.6205515898521883E+000                  4.1739917837912661E+004                  4.5494534174872042E-006                  9.9510211285988477E-003                  7.6062908203508517E+000                  1.3125638394765708E+000                  1.7089955645258797E+001                  5.9309243095722841E-001                  8.7905980336553480E-001                  7.5811959469320800E-001                  2.4178301544848113E-001                  9.1246979612230263E-007                  3.9047469242827358E-006                  1.7208053054058331E-005                  4.6802233045694731E-005                  7.5912304209146315E+000                  2.4076699037172475E+000                  2.2861968575974134E+000                  3.7808258638707577E+000                 -2.4494364710734086E+001                  3.2720484478415793E-009                                        0                                        0                  9.9999978841483976E+000                  7.8153932220882366E-007                  2.5625292764763974E+000                  7.6663694460509391E-001                  1.5928590526551354E+000                  4.7988057389423942E+000                  3.7704702540741191E-003                  2.1000000000000000E+001                  7.1159342641299474E+004                  1.5000003526802730E+007                  6.7061280136859615E+005                  1.0000000000000001E-001                  1.0056825088387888E+000                  1.2571028700641174E+000                 -9.9998934245608151E-001                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999978841483976E+000                  8.0000000000000000E+000                 -1.0564762841555817E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0564762841555817E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  9.2902083064824982E+055                  2.4763459186586872E+050                  9.2902330699416849E+055                 -3.5639321193288888E+036                  0.0000000000000000E+000                 -1.7435665177680908E+019                 -3.5642544403125058E+036                  3.2232098361710341E+032                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      24                  1.2411441315246676E+005                  9.9999964307522511E+000                 -1.0560628036209817E+001                  4.3211686590953704E+000                                      976                  3.4988391596170008E+000                  3.4787620693249566E-001                  7.8153959970350684E-008                  9.9999999999296230E-001                  9.9999999997618971E-001                  3.4787620693249566E-001                  7.8153959970350684E-008                  9.9999999999296230E-001                  9.9999999997618971E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3094660883362693E+033                  6.7389332908734530E+033                  7.0138842185832414E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.0763641214013094E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7931801300308905E+000                 -2.4518952088536867E+001                 -1.2041199826559247E+001                  3.7931801300308905E+000                  4.5045646912262365E+000                  6.1881157580844329E+003                  3.7915584292398514E+000                  4.0990866862007869E-001                  4.6180718611624796E+000                  4.1502270928403675E+004                  4.5214514917847033E-006                  9.9338081169526946E-003                  7.6057547483322487E+000                  1.3108759297010555E+000                  1.7087433723401539E+001                  5.9352612213507705E-001                  8.7858523865163618E-001                  7.5717046523590203E-001                  2.4273234066979568E-001                  9.3074123229013875E-007                  2.3622881629796354E-006                  1.7208053054058321E-005                  4.6802233045694711E-005                  7.5878838488731626E+000                  2.4110175318845575E+000                  2.2792634827186373E+000                  3.7796717159728992E+000                 -2.4518952088536867E+001                  2.0841191298639595E-009                                        0                                        0                  9.9999964307522511E+000                  7.8153932075266127E-007                  2.5698552898067928E+000                  7.6578657838726250E-001                  1.5911250326234223E+000                  4.7932643891913900E+000                  3.7753581322236378E-003                  2.4000000000000000E+001                  1.2411441315246676E+005                  1.5000005949392619E+007                  6.7061285552452516E+005                  1.0000000000000001E-001                  1.0056825088329373E+000                  1.2571026873499180E+000                 -9.9998931198775676E-001                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999964307522511E+000                  8.0000000000000000E+000                 -1.0560628036209817E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0560628036209817E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  9.2902077064317302E+055                  2.4763432151309084E+050                  9.2902324698638816E+055                 -3.5980277009172860E+036                  0.0000000000000000E+000                 -1.7435655620865188E+019                 -3.5983514192839963E+036                  3.2371836671053764E+032                  0.0000000000000000E+000                  0.0000000000000000E+000 
