                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        7623      8.0000000000000000E+000      1.0000000000000000E-003      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96 
                            model_number                                 star_age                                star_mass                             log_abs_mdot                                   log_dt                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups                                     mass                                core_mass                            photosphere_r                                 lambda_g                                 lambda_b                                 lambda_h                              core_radius                             model_number                                      age                              period_days                        binary_separation                             eccentricity                                  v_orb_1                                  v_orb_2                   rl_relative_overflow_1                   rl_relative_overflow_2                                     edot                               edot_tidal                              star_1_mass                              star_2_mass                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                            xfer_fraction                                    J_orb                                 J_spin_1                                  J_total                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                               extra_jdot 
                                       1                  5.5242717280199042E+002                  7.9999999828616870E+000                 -1.0508306965104500E+001                  2.7422750325201410E+000                                     1083                  2.4378830176455542E+000                  3.0469751185510630E-001                  7.8128282621214851E-008                  9.9999999998441724E-001                  9.9999999994467270E-001                  3.0469751185510630E-001                  7.8128282621214851E-008                  9.9999999998441724E-001                  9.9999999994467270E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2205680394763488E+033                  4.7488239978062677E+033                  4.9002606725023062E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.6293797634171093E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5736381266971691E+000                 -2.7288339306769107E+001                 -1.2342229822223228E+001                  3.5736381266971691E+000                  4.4458356080795562E+000                  3.6588199527658148E+003                  3.5633410387721569E+000                  4.1325813967959257E-001                  4.5144630601154994E+000                  3.2693623736174119E+004                  4.0279487632364602E-006                  9.9780374387193720E-003                  7.5524304908388462E+000                  1.3320320450480476E+000                  1.7046729552383862E+001                  5.9398318079378587E-001                  8.7833474539533296E-001                  7.5666944665875913E-001                  2.4230781569592452E-001                  3.6089359143330393E-006                  4.2423553439742428E-004                  1.7208053054058308E-004                  4.6802233045694703E-004                  6.0551695024086198E+000                  1.9366396760179909E+000                  2.1226421747884361E+000                  3.5579853554350711E+000                 -2.7288339306769107E+001                  2.7768851492389514E-008                                        0                                        0                  7.9999999828616870E+000                  6.2502625963073188E-007                  2.5897517766431934E+000                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                  3.4479047543111156E-003                  1.0000000000000000E+000                  5.5242717280199042E+002                  1.5000000032134145E+007                  6.4479394129689329E+005                  1.0000000000000001E-001                  1.0878338746880725E+000                  1.0878338723576177E+000                 -9.9998822267771470E-001                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.9999999828616870E+000                  8.0000000000000000E+000                 -1.0508306965104500E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0508306965104500E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  7.7297655229837990E+055                  1.6527520883017283E+050                  7.7297820505046825E+055                 -4.7492806902783657E+036                  0.0000000000000000E+000                 -1.2070368375007617E+019                 -4.7492806902783657E+036                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  4.1109420491232922E+003                  7.9999998799517167E+000                 -1.0554028514706756E+001                  3.0590000167106401E+000                                     1003                  2.5264991594749024E+000                  3.1277238436595056E-001                  7.8128283620415573E-008                  9.9999999998441724E-001                  9.9999999994584254E-001                  3.1277238436595056E-001                  7.8128283620415573E-008                  9.9999999998441724E-001                  9.9999999994584254E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2205680394763617E+033                  4.8037356878569951E+033                  5.0733174238495064E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5520360688786999E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5706113806910897E+000                 -2.7314084074733717E+001                 -1.1865108567503565E+001                  3.5706113806910902E+000                  4.4436673073691715E+000                  3.5115878813602244E+003                  3.5455035415867711E+000                  4.0867599250766912E-001                  4.5236273488726919E+000                  3.3390840331252824E+004                  4.0953827559480747E-006                  9.9785182892857364E-003                  7.5521409058317728E+000                  1.3257019440042432E+000                  1.7040295310367856E+001                  5.9400139686127573E-001                  8.7831373908372912E-001                  7.5662743852308123E-001                  2.4235055089046162E-001                  3.6595569524877421E-006                  4.1859425895826374E-004                  1.7208053054058295E-004                  4.6802233045694681E-004                  6.0550335805700977E+000                  1.9367775597729580E+000                  2.0795501906970419E+000                  3.5563609211999192E+000                 -2.7314084074733717E+001                  1.4379310739299014E-008                                        0                                        0                  7.9999998799517167E+000                  6.2502625958415819E-007                  2.5625715043523232E+000                  7.1041751141429521E-001                  1.4594366750744718E+000                  4.4011837750559222E+000                  3.4646972711119650E-003                  5.0000000000000000E+000                  4.1109420491232922E+003                  1.5000000225110795E+007                  6.4479394544471230E+005                  1.0000000000000001E-001                  1.0878338746875780E+000                  1.0878338583635043E+000                 -9.9998834628451549E-001                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.9999998799517167E+000                  8.0000000000000000E+000                 -1.0554028514706756E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0554028514706756E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  7.7297654732704388E+055                  1.6527519127647665E+050                  7.7297820007895659E+055                 -4.2744052939785148E+036                  0.0000000000000000E+000                 -1.2070367809909068E+019                 -4.2747064239698308E+036                  3.0112999131587368E+032                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      10                  1.4340281368797763E+004                  7.9999996332241592E+000                 -1.0656627816173271E+001                  3.4549062469487644E+000                                      998                  2.6467889502796194E+000                  3.2561905608194519E-001                  7.8128286062906227E-008                  9.9999999998441724E-001                  9.9999999994638655E-001                  3.2561905608194519E-001                  7.8128286062906227E-008                  9.9999999998441724E-001                  9.9999999994638655E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1749470395053029E+033                  4.8037356878569934E+033                  5.4224705493170088E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.1946815794943133E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5453225731525868E+000                 -2.7453216140024949E+001                 -1.1740169830895265E+001                  3.5453225731525873E+000                  4.4375975708773758E+000                  3.2102825023584646E+003                  3.5065432516624950E+000                  4.0133532052912263E-001                  4.5383086794357324E+000                  3.4538914113095831E+004                  4.2195242219213699E-006                  1.0003933689965687E-002                  7.5499431952469891E+000                  1.3111660383508972E+000                  1.7023813940349708E+001                  5.9405580648693779E-001                  8.7825079226283198E-001                  7.5650154495574828E-001                  2.4247845040837201E-001                  3.8015100094238199E-006                  4.0273771284664604E-004                  1.7208053054058306E-004                  4.6802233045694698E-004                  6.0546567656983035E+000                  1.9371593751879244E+000                  2.0308991905691451E+000                  3.5318301587842300E+000                 -2.7453216140024949E+001                  7.5165471190267009E-009                                        0                                        0                  7.9999996332241592E+000                  6.2502625984768200E-007                  2.5196215869587477E+000                  7.2622761773386868E-001                  1.4920881018594803E+000                  4.4988065434305629E+000                  3.5035683634862778E-003                  1.0000000000000000E+001                  1.4340281368797763E+004                  1.5000000687773610E+007                  6.4479395538913319E+005                  1.0000000000000001E-001                  1.0878338746864025E+000                  1.0878338248125046E+000                 -9.9998854160642636E-001                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.9999996332241592E+000                  8.0000000000000000E+000                 -1.0656627816173271E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0656627816173271E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  7.7297653540821526E+055                  1.6527514950493731E+050                  7.7297818815971027E+055                 -3.3750222379588461E+036                  0.0000000000000000E+000                 -1.2070366437183754E+019                 -3.3752582368125879E+036                  2.3599885374201558E+032                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      15                  3.9794150984730135E+004                  7.9999991578167986E+000                 -1.0754944009803745E+001                  3.8508124771868886E+000                                      989                  2.6192086157822274E+000                  3.2561907543215951E-001                  7.8128290503798326E-008                  9.9999999998339650E-001                  9.9999999994464683E-001                  3.2561907543215951E-001                  7.8128290503798326E-008                  9.9999999998339650E-001                  9.9999999994464683E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0920969254824126E+033                  4.6970912908994143E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5039472471353674E+000                 -2.7709655727608133E+001                 -1.2342229822223228E+001                  3.5039472471353674E+000                  4.4318280521066331E+000                  3.0385821060220992E+003                  3.4826709759838326E+000                  4.0093822023127540E-001                  4.5391028542230760E+000                  3.4602131655923178E+004                  4.2143549638058774E-006                  9.9632657722071635E-003                  7.5456188259052555E+000                  1.2957601771558416E+000                  1.7004073890360246E+001                  5.9419173536216841E-001                  8.7809370581447843E-001                  7.5618736835602174E-001                  2.4279692588726459E-001                  4.1145482616494420E-006                  3.6867519082370970E-004                  1.7208053054058306E-004                  4.6802233045694703E-004                  6.0538006403643569E+000                  1.9380250392989540E+000                  1.9846693124757908E+000                  3.4906071387716890E+000                 -2.7709655727608133E+001                  5.2738604247662052E-009                                        0                                        0                  7.9999991578167986E+000                  6.2502625823205284E-007                  2.5173188056960858E+000                  7.3411063954676192E-001                  1.5083752791792062E+000                  4.5476944169753475E+000                  3.5452419753649305E-003                  1.5000000000000000E+001                  3.9794150984730135E+004                  1.5000001579255557E+007                  6.4479397455053765E+005                  1.0000000000000001E-001                  1.0878338746841534E+000                  1.0878337601647263E+000                 -9.9998855207888782E-001                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.9999991578167986E+000                  8.0000000000000000E+000                 -1.0754944009803745E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0754944009803745E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  7.7297651244239041E+055                  1.6527506959151179E+050                  7.7297816519308627E+055                 -2.6912912093838048E+036                  0.0000000000000000E+000                 -1.2070363801175552E+019                 -2.6914780228185761E+036                  1.8681343477140121E+032                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      20                  1.0313152382744697E+005                  7.9999980655926626E+000                 -1.0764106900335976E+001                  4.2467187074250123E+000                                      972                  2.5737196900130752E+000                  3.2000910242397151E-001                  7.8128301272961664E-008                  9.9999999998237565E-001                  9.9999999994201705E-001                  3.2000910242397151E-001                  7.8128301272961664E-008                  9.9999999998237565E-001                  9.9999999994201705E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0920969254824141E+033                  4.6485375671364518E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4938731342542328E+000                 -2.7941245895299584E+001                 -1.2342229822223228E+001                  3.4938731342542328E+000                  4.4298083261272732E+000                  3.0553508460623175E+003                  3.4850610874951591E+000                  4.0617272794565884E-001                  4.5286337795009342E+000                  3.3777988188857904E+004                  4.1075261100528236E-006                  9.8888003268290461E-003                  7.5416299256132566E+000                  1.2843256383995623E+000                  1.6988388521929195E+001                  5.9452817282349835E-001                  8.7770514894296270E-001                  7.5541025134247142E-001                  2.4358197776826360E-001                  4.7254001533874165E-006                  3.0593222918781426E-004                  1.7208053054058306E-004                  4.6802233045694719E-004                  6.0517726031534016E+000                  1.9400696382660627E+000                  1.9482493888742223E+000                  3.4813296786031471E+000                 -2.7941245895299584E+001                  2.7822121646631035E-009                                        0                                        0                  7.9999980655926626E+000                  6.2502625905173414E-007                  2.5478433813901118E+000                  7.3222343554690550E-001                  1.5043138622881658E+000                  4.5330057182795347E+000                  3.5764931347405556E-003                  2.0000000000000000E+001                  1.0313152382744697E+005                  1.5000003627388295E+007                  6.4479401857283828E+005                  1.0000000000000001E-001                  1.0878338746790295E+000                  1.0878336116398011E+000                 -9.9998841326379129E-001                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.9999980655926626E+000                  8.0000000000000000E+000                 -1.0764106900335976E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0764106900335976E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  7.7297645967954387E+055                  1.6527488752466778E+050                  7.7297811242841909E+055                 -2.6351061894942477E+036                  0.0000000000000000E+000                 -1.2070357884696093E+019                 -2.6352875283706653E+036                  1.8133887641755862E+032                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      25                  2.6073517541943616E+005                  7.9999953828540971E+000                 -1.0771848922820242E+001                  4.6426249376631361E+000                                      968                  2.5612839122686073E+000                  3.2000920973662694E-001                  7.8128327252180441E-008                  9.9999999998135491E-001                  9.9999999993881439E-001                  3.2000920973662694E-001                  7.8128327252180441E-008                  9.9999999998135491E-001                  9.9999999993881439E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0571395161209475E+033                  4.6485375671364282E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4908589759409949E+000                 -2.8197263054037546E+001                 -9.8999999999999986E+001                  3.4908589759409949E+000                  4.4272869176464438E+000                  3.0664484142452907E+003                  3.4866356631056714E+000                  4.1200283271257310E-001                  4.5169734243297270E+000                  3.2883150815859895E+004                  3.9874794388624546E-006                  9.7977201378544512E-003                  7.5371788906945643E+000                  1.2705724108093077E+000                  1.6969602825235508E+001                  5.9536207052319490E-001                  8.7674353186463394E-001                  7.5348701311200617E-001                  2.4551706107983087E-001                  5.6333051328633658E-006                  2.1228434783759589E-004                  1.7208053054058300E-004                  4.6802233045694692E-004                  6.0467856222550385E+000                  1.9450800520624778E+000                  1.9129312134082512E+000                  3.4792268354840803E+000                 -2.8197263054037546E+001                  1.4228441140366701E-009                                        0                                        0                  7.9999953828540971E+000                  6.2502625728755742E-007                  2.5822770336410574E+000                  7.3066914515265979E-001                  1.5011988983137841E+000                  4.5234085262022319E+000                  3.6144465334583195E-003                  2.5000000000000000E+001                  2.6073517541943616E+005                  1.5000008658041311E+007                  6.4479412670099270E+005                  1.0000000000000001E-001                  1.0878338746665772E+000                  1.0878332468306127E+000                 -9.9998825667217217E-001                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.9999953828540971E+000                  8.0000000000000000E+000                 -1.0771848922820242E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0771848922820242E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  7.7297633008246346E+055                  1.6527444488177620E+050                  7.7297798282691229E+055                 -2.5885501202147457E+036                  0.0000000000000000E+000                 -1.2070343348302862E+019                 -2.5887262639350681E+036                  1.7614372032223915E+032                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      30                  6.5290349374881445E+005                  7.9999888299286024E+000                 -1.0779041762713884E+001                  5.0385311679012608E+000                                      964                  2.5439560623876250E+000                  3.1759917828977391E-001                  7.8128391201026659E-008                  9.9999999998033418E-001                  9.9999999993517541E-001                  3.1759917828977391E-001                  7.8128391201026659E-008                  9.9999999998033418E-001                  9.9999999993517541E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0571395161209383E+033                  4.5902171653390794E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4909703096563427E+000                 -2.8400810540004358E+001                 -9.8999999999999986E+001                  3.4909703096563427E+000                  4.4248332313182539E+000                  3.0848757804148836E+003                  3.4892376808598558E+000                  4.1821121424604568E-001                  4.5045563055250080E+000                  3.1956286456538663E+004                  3.8612014703173875E-006                  9.6962597756573357E-003                  7.5334207362473453E+000                  1.2578789149866665E+000                  1.6951726677141750E+001                  5.9745229852378057E-001                  8.7434295127989614E-001                  7.4868584938654559E-001                  2.5033130996164493E-001                  6.6295231081370154E-006                  1.0887004412925726E-004                  1.7208053054058311E-004                  4.6802233045694741E-004                  6.0344400102786464E+000                  1.9574458446143768E+000                  1.8805804450967165E+000                  3.4801864250527785E+000                 -2.8400810540004358E+001                  7.1573015532406748E-010                                        0                                        0                  7.9999888299286024E+000                  6.2502625690850531E-007                  2.6194566418178842E+000                  7.2846263523673005E-001                  1.4968917621724815E+000                  4.5103899517067454E+000                  3.6498327999478883E-003                  3.0000000000000000E+001                  6.5290349374881445E+005                  1.5000020946035970E+007                  6.4479439081723790E+005                  1.0000000000000001E-001                  1.0878338746365732E+000                  1.0878323557388172E+000                 -9.9998808759446367E-001                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.9999888299286024E+000                  8.0000000000000000E+000                 -1.0779041762713884E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0779041762713884E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  7.7297601352486094E+055                  1.6527337750662012E+050                  7.7297766625863601E+055                 -2.5460357559868380E+036                  0.0000000000000000E+000                 -1.2070307852950944E+019                 -2.5462066362589392E+036                  1.7088027210119970E+032                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      35                  1.6287437636141728E+006                  7.9999725760505180E+000                 -1.0776517805235033E+001                  5.4344373981393845E+000                                      959                  2.5167587839328238E+000                  3.1277345185789307E-001                  7.8128549851896878E-008                  9.9999999997931333E-001                  9.9999999993153577E-001                  3.1277345185789307E-001                  7.8128549851896878E-008                  9.9999999997931333E-001                  9.9999999993153577E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0571395161209466E+033                  4.5902171653390828E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4964517571741847E+000                 -2.8425148884755210E+001                 -9.8999999999999986E+001                  3.4964517571741847E+000                  4.4231075920771881E+000                  3.1307779217694952E+003                  3.4956522625160940E+000                  4.2486978355629695E-001                  4.4912382845311818E+000                  3.0991192278391569E+004                  3.7271170270354457E-006                  9.5819286373955408E-003                  7.5321630751402582E+000                  1.2502844963143174E+000                  1.6939279400253820E+001                  6.0278518873982645E-001                  8.6828369284932483E-001                  7.3656733501121507E-001                  2.6245842887978366E-001                  7.2976610605778529E-006                  4.0984209484656739E-005                  1.7208053054058322E-004                  4.6802233045694719E-004                  6.0035281317107136E+000                  1.9883535610752070E+000                  1.8536741826336931E+000                  3.4864518237290767E+000                 -2.8425148884755210E+001                  3.6454358412120757E-010                                        0                                        0                  7.9999725760505180E+000                  6.2502625622177070E-007                  2.6599274023733952E+000                  7.2423389365075119E-001                  1.4887632925977921E+000                  4.4858673054751659E+000                  3.6711695501620177E-003                  3.5000000000000000E+001                  1.6287437636141728E+006                  1.5000051425191032E+007                  6.4479504593059153E+005                  1.0000000000000001E-001                  1.0878338745634859E+000                  1.0878301454758332E+000                 -9.9998790355376654E-001                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.9999725760505180E+000                  8.0000000000000000E+000                 -1.0776517805235033E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0776517805235033E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  7.7297522833323378E+055                  1.6527077235205222E+050                  7.7297688104095726E+055                 -2.5608836074286676E+036                  0.0000000000000000E+000                 -1.2070220056773364E+019                 -2.5610525251697954E+036                  1.6891774112770305E+032                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      40                  3.9006857180257505E+006                  7.9999333963638595E+000                 -1.0753484664999288E+001                  5.7483389879103983E+000                                      964                  2.4354562989429440E+000                  3.0308285996984807E-001                  7.8128932323728861E-008                  9.9999999997727174E-001                  9.9999999992652144E-001                  3.0308285996984807E-001                  7.8128932323728861E-008                  9.9999999997727174E-001                  9.9999999992652144E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0571395161209377E+033                  4.5252958726066262E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5119616622822076E+000                 -2.8176280049373968E+001                 -1.2342229822223228E+001                  3.5119616622822081E+000                  4.4217035949508823E+000                  3.2457816929763926E+003                  3.5113193063947032E+000                  4.3551129974821279E-001                  4.4699531251946354E+000                  2.9508907103174039E+004                  3.5364051770913209E-006                  9.4411779211269944E-003                  7.5344104743640443E+000                  1.2477940066670492E+000                  1.6930098960088785E+001                  6.1626147915784291E-001                  8.5341932236642581E-001                  7.0683860472726945E-001                  2.9218927547617707E-001                  7.5183330773875829E-006                  2.4604305853913333E-005                  1.7208053054058314E-004                  4.6802233045694698E-004                  5.9296774690760570E+000                  2.0621571597939541E+000                  1.8201910079784920E+000                  3.5030395626312014E+000                 -2.8176280049373968E+001                  2.2724930060394623E-010                                        0                                        0                  7.9999333963638595E+000                  6.2502625491885043E-007                  2.7259086624196414E+000                  7.1471374231535678E-001                  1.4706978946169409E+000                  4.4330556923899067E+000                  3.6781937785228718E-003                  4.0000000000000000E+001                  3.9006857180257505E+006                  1.5000124894871889E+007                  6.4479662507046817E+005                  1.0000000000000001E-001                  1.0878338743913492E+000                  1.0878248176799055E+000                 -9.9998760350989935E-001                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.9999333963638595E+000                  8.0000000000000000E+000                 -1.0753484664999288E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0753484664999288E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  7.7297333563322733E+055                  1.6526460836802007E+050                  7.7297498827931103E+055                 -2.7003844527924907E+036                  0.0000000000000000E+000                 -1.2070003708961669E+019                 -2.7005595157689466E+036                  1.7506297645580396E+032                  0.0000000000000000E+000                  0.0000000000000000E+000 
