                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        7623      1.0000000000000000E+001      1.0000000000000000E-003      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96 
                            model_number                                 star_age                                star_mass                             log_abs_mdot                                   log_dt                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups                                     mass                                core_mass                            photosphere_r                                 lambda_g                                 lambda_b                                 lambda_h                              core_radius                             model_number                                      age                              period_days                        binary_separation                             eccentricity                                  v_orb_1                                  v_orb_2                   rl_relative_overflow_1                   rl_relative_overflow_2                                     edot                               edot_tidal                              star_1_mass                              star_2_mass                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                            xfer_fraction                                    J_orb                                 J_spin_1                                  J_total                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                               extra_jdot 
                                       1                  3.1622776601683819E+002                  9.9999999533899420E+000                 -9.8315203692196782E+000                  2.5000000000000000E+000                                     1098                  3.1889945842817866E+000                  3.1676287258854186E-001                  7.8154025473509137E-008                  9.9999999998819245E-001                  9.9999999995793576E-001                  3.1676287258854186E-001                  7.8154025473509137E-008                  9.9999999998819245E-001                  9.9999999995793576E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2928497733083902E+033                  1.0291448091891508E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8615056031842325E+000                 -2.6398452854687228E+001                 -1.2041199826559247E+001                  3.8615056031842325E+000                  4.4881434335028452E+000                  7.2165705122554073E+003                  3.8583308594189010E+000                  4.7613739915638648E-001                  4.4856145530761031E+000                  3.0592470722084774E+004                  3.5784589158995247E-006                  9.9890752720638055E-003                  7.5717535329003436E+000                  1.2233084544377535E+000                  1.6964693094787698E+001                  5.9398353545073102E-001                  8.7833433299184049E-001                  7.5666863290740805E-001                  2.4230912221384676E-001                  3.8715096520943586E-006                  4.2090883535853387E-004                  1.7208053054058303E-004                  4.6802233045694725E-004                  7.5689147723392942E+000                  2.4208491313526506E+000                  2.2460427808312913E+000                  3.8508485006589321E+000                 -2.6398452854687228E+001                  7.1735728077728528E-008                                        0                                        0                  9.9999999533899420E+000                  7.8154025109232760E-007                  2.9932114588607139E+000                 -9.9999999999999997E+098                 -9.9999999999999997E+098                 -9.9999999999999997E+098                  4.0378249383142386E-003                  1.0000000000000000E+000                  3.1622776601683819E+002                  1.5000000077683331E+007                  6.7061272426496958E+005                  1.0000000000000001E-001                  1.0056825088473453E+000                  1.2571031301998166E+000                 -9.9998755125059990E-001                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999533899420E+000                  8.0000000000000000E+000                 -9.8315203692196782E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8315203692196782E+000                 -9.8999999999999986E+001                  1.0000000000000000E+000                  9.2902091607896363E+055                  2.5248200726337863E+050                  9.2902344089903626E+055                 -1.9284619387491602E+037                  0.0000000000000000E+000                 -1.7435679092896758E+019                 -1.9284619387491602E+037                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  1.1510690683012908E+003                  9.9999998328276938E+000                 -9.8435102887434027E+000                  2.6583624920952498E+000                                     1013                  3.2466026771965026E+000                  3.2318831706430706E-001                  7.8154026472709859E-008                  9.9999999998819245E-001                  9.9999999995778432E-001                  3.2318831706430706E-001                  7.8154026472709859E-008                  9.9999999998819245E-001                  9.9999999995778432E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3540104939122766E+033                  1.0291448091891530E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8610441401096063E+000                 -2.6401522246158976E+001                 -1.1439139835231284E+001                  3.8610441401096067E+000                  4.4875439058200435E+000                  7.1190546115550860E+003                  3.8524223245012732E+000                  4.7438218706317631E-001                  4.4891249720265716E+000                  3.0840752921482283E+004                  3.5879177908119467E-006                  9.9522185627171633E-003                  7.5717479709665723E+000                  1.2213781717610301E+000                  1.6962854183189503E+001                  5.9398970365609394E-001                  8.7832719894914912E-001                  7.5665437054232898E-001                  2.4232365910728101E-001                  3.8783200159865165E-006                  4.1885897629209278E-004                  1.7208053054058303E-004                  4.6802233045694692E-004                  7.5688528159127459E+000                  2.4209120489286895E+000                  2.1964790292823868E+000                  3.8515388986639367E+000                 -2.6401522246158976E+001                  5.1676287431557828E-008                                        0                                        0                  9.9999998328276938E+000                  7.8154025166190972E-007                  2.9811387318663098E+000                  7.1403987031558569E-001                  1.4882311520594851E+000                  4.5410450529825663E+000                  4.0438115978830881E-003                  3.0000000000000000E+000                  1.1510690683012908E+003                  1.5000000278644022E+007                  6.7061272875737201E+005                  1.0000000000000001E-001                  1.0056825088468178E+000                  1.2571031150432395E+000                 -9.9998760146105270E-001                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999998328276938E+000                  8.0000000000000000E+000                 -9.8435102887434027E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8435102887434027E+000                 -9.8999999999999986E+001                  1.0000000000000000E+000                  9.2902091110145766E+055                  2.5248198289478330E+050                  9.2902343592128660E+055                 -1.8757661873916909E+037                  0.0000000000000000E+000                 -1.7435678292177017E+019                 -1.8759495646571885E+037                  1.8337726549757352E+033                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  3.1401164183259216E+003                  9.9999995603502558E+000                 -9.8731186173978731E+000                  2.8959062302381242E+000                                     1014                  3.3530941563772694E+000                  3.3516431780522393E-001                  7.8154028471111303E-008                  9.9999999998819245E-001                  9.9999999995813005E-001                  3.3516431780522393E-001                  7.8154028471111303E-008                  9.9999999998819245E-001                  9.9999999995813005E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3540104939122725E+033                  6.5719599808742906E+033                  6.8091659541007632E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.0186021033743005E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8594574596159350E+000                 -2.6422704878612709E+001                 -9.8999999999999986E+001                  3.8594574596159350E+000                  4.4859684618166371E+000                  6.9006245008695369E+003                  3.8388883958109861E+000                  4.7076611072484487E-001                  4.4963571128696893E+000                  3.1358632307553384E+004                  3.6344522222140874E-006                  9.9470197765392752E-003                  7.5714615879799103E+000                  1.2167140643214585E+000                  1.6958097979070956E+001                  5.9400240311653330E-001                  8.7831251870315885E-001                  7.5662500879561134E-001                  2.4235353523972114E-001                  3.9298593750167551E-006                  4.1478249596026519E-004                  1.7208053054058300E-004                  4.6802233045694692E-004                  7.5687053667416375E+000                  2.4210616613834968E+000                  2.1872701869161228E+000                  3.8501193769565760E+000                 -2.6422704878612709E+001                  3.2191775402096518E-008                                        0                                        0                  9.9999995603502558E+000                  7.8154025035071447E-007                  2.9564198579489283E+000                  7.2159018911336359E-001                  1.4997200458664495E+000                  4.5245955083591625E+000                  4.0583137165998559E-003                  6.0000000000000000E+000                  3.1401164183259216E+003                  1.5000000732826069E+007                  6.7061273891044164E+005                  1.0000000000000001E-001                  1.0056825088456340E+000                  1.2571030807885355E+000                 -9.9998770426682038E-001                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999995603502558E+000                  8.0000000000000000E+000                 -9.8731186173978731E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8731186173978731E+000                 -9.8999999999999986E+001                  1.0000000000000000E+000                  9.2902089985200660E+055                  2.5248192822911969E+050                  9.2902342467128891E+055                 -1.7521477146195446E+037                  0.0000000000000000E+000                 -1.7435676472577073E+019                 -1.7523176791618660E+037                  1.6996454232136178E+033                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  6.5771902391684825E+003                  9.9999991331247653E+000                 -9.9213029177125875E+000                  3.1334499683809987E+000                                     1015                  3.4676715333609600E+000                  3.4626062280634795E-001                  7.8154031690758075E-008                  9.9999999998819245E-001                  9.9999999995836375E-001                  3.4626062280634795E-001                  7.8154031690758075E-008                  9.9999999998819245E-001                  9.9999999995836375E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3540104939122529E+033                  6.5719599808742594E+033                  6.9583117332288293E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.0040023526184034E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8502709342370776E+000                 -2.6481260457219943E+001                 -1.2041199826559247E+001                  3.8502709342370776E+000                  4.4831187987322494E+000                  6.5814090903988372E+003                  3.8183188867247768E+000                  4.6618068235051646E-001                  4.5055279510641775E+000                  3.2027862183679827E+004                  3.6970427434345381E-006                  9.9450755587162879E-003                  7.5705336861360184E+000                  1.2094343587052063E+000                  1.6950113790377078E+001                  5.9402985047342183E-001                  8.7828079084947264E-001                  7.5656155519065060E-001                  2.4241808742570747E-001                  4.0076663167907484E-006                  4.0614804821746832E-004                  1.7208053054058311E-004                  4.6802233045694692E-004                  7.5684543544208793E+000                  2.4213162173680240E+000                  2.1426278234036920E+000                  3.8416722210449410E+000                 -2.6481260457219943E+001                  2.0615561233384037E-008                                        0                                        0                  9.9999991331247653E+000                  7.8154024915778620E-007                  2.9253691850262173E+000                  7.3074344687603698E-001                  1.5189622223479757E+000                  4.5829069017902260E+000                  4.0810525237657052E-003                  9.0000000000000000E+000                  6.5771902391684825E+003                  1.5000001444951121E+007                  6.7061275482972653E+005                  1.0000000000000001E-001                  1.0056825088437906E+000                  1.2571030270795809E+000                 -9.9998783340656472E-001                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999991331247653E+000                  8.0000000000000000E+000                 -9.9213029177125875E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9213029177125875E+000                 -9.8999999999999986E+001                  1.0000000000000000E+000                  9.2902088221364542E+055                  2.5248184306414820E+050                  9.2902340703207610E+055                 -1.5681467668878674E+037                  0.0000000000000000E+000                 -1.7435673595065465E+019                 -1.5682979070915688E+037                  1.5114020370135804E+033                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      12                  1.2516453801584426E+004                  9.9999984916936846E+000                 -9.9867303938825174E+000                  3.3709937065238731E+000                                     1017                  3.5472796034727732E+000                  3.5177108960608450E-001                  7.8154036686761685E-008                  9.9999999998819245E-001                  9.9999999995810673E-001                  3.5177108960608450E-001                  7.8154036686761685E-008                  9.9999999998819245E-001                  9.9999999995810673E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2765880836045661E+033                  6.5719599808742364E+033                  7.1223778947802795E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  9.7705611156650662E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8297025473189388E+000                 -2.6595905771452429E+001                 -9.8999999999999986E+001                  3.8297025473189388E+000                  4.4790969020753399E+000                  6.2309634039729017E+003                  3.7945552005407022E+000                  4.6234263257229591E-001                  4.5132040227636177E+000                  3.2598980845438771E+004                  3.7531881304438286E-006                  9.9459776293395006E-003                  7.5686071621543523E+000                  1.1998552346994360E+000                  1.6938776596421558E+001                  5.9407615648651801E-001                  8.7822726951225294E-001                  7.5645451229200811E-001                  2.4252685002946711E-001                  4.1363069338060985E-006                  3.9255654723999915E-004                  1.7208053054058298E-004                  4.6802233045694687E-004                  7.5680374120754710E+000                  2.4217386766612097E+000                  2.1034148717537224E+000                  3.8214686187425984E+000                 -2.6595905771452429E+001                  1.4802590993610902E-008                                        0                                        0                  9.9999984916936846E+000                  7.8154024898738974E-007                  2.8996303217744890E+000                  7.4040588342826108E-001                  1.5392924048559014E+000                  4.6448783060129859E+000                  4.1111680111679642E-003                  1.2000000000000000E+001                  1.2516453801584426E+004                  1.5000002514126219E+007                  6.7061277873072284E+005                  1.0000000000000001E-001                  1.0056825088410399E+000                  1.2571029464416399E+000                 -9.9998794045460682E-001                 -9.9999999999999989E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999984916936846E+000                  8.0000000000000000E+000                 -9.9867303938825174E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9867303938825174E+000                 -9.8999999999999986E+001                  1.0000000000000000E+000                  9.2902085573161002E+055                  2.5248171599702911E+050                  9.2902338054876995E+055                 -1.3488371345943256E+037                  0.0000000000000000E+000                 -1.7435669241274255E+019                 -1.3489663541950580E+037                  1.2921960073231427E+033                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      15                  2.2779501237439177E+004                  9.9999975299690398E+000                 -1.0042958316365064E+001                  3.6085374446667475E+000                                     1012                  3.5461341563936903E+000                  3.5177112343678596E-001                  7.8154044014233648E-008                  9.9999999998819245E-001                  9.9999999995713640E-001                  3.5177112343678596E-001                  7.8154044014233648E-008                  9.9999999998819245E-001                  9.9999999995713640E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2277685131195627E+033                  6.4925911003865852E+033                  7.7832816577859749E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  9.3153413505595838E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8055998033486045E+000                 -2.6749965555189103E+001                 -9.8999999999999986E+001                  3.8055998033486045E+000                  4.4756230909112276E+000                  6.0228990419065758E+003                  3.7798055834245479E+000                  4.6191544634244541E-001                  4.5140583534561394E+000                  3.2663171670210282E+004                  3.7495798588088928E-006                  9.9090277771387240E-003                  7.5659411425912673E+000                  1.1903075362300926E+000                  1.6926586380224016E+001                  5.9415844654300676E-001                  8.7813217256884202E-001                  7.5626431700109764E-001                  2.4271981196219697E-001                  4.3512626066752625E-006                  3.7067632211547715E-004                  1.7208053054058292E-004                  4.6802233045694687E-004                  7.5673557923302077E+000                  2.4224282939375690E+000                  2.0684591191689123E+000                  3.7975709809020985E+000                 -2.6749965555189103E+001                  1.1470684516200337E-008                                        0                                        0                  9.9999975299690398E+000                  7.8154024709942795E-007                  2.8967795530166378E+000                  7.4561374085247367E-001                  1.5501542347088728E+000                  4.6769033146576904E+000                  4.1414058366832955E-003                  1.5000000000000000E+001                  2.2779501237439177E+004                  1.5000004117184676E+007                  6.7061281456646614E+005                  1.0000000000000001E-001                  1.0056825088369385E+000                  1.2571028255378065E+000                 -9.9998795231132576E-001                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999975299690398E+000                  8.0000000000000000E+000                 -1.0042958316365064E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0042958316365064E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  9.2902081602595369E+055                  2.5248152653412134E+050                  9.2902334084121903E+055                 -1.1850369079255911E+037                  0.0000000000000000E+000                 -1.7435662744505692E+019                 -1.1851497837218500E+037                  1.1287579625892177E+033                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      18                  4.0514047206596180E+004                  9.9999959817061548E+000                 -1.0062277976198011E+001                  3.8460811828096220E+000                                     1010                  3.4997742423502496E+000                  3.4783816548244828E-001                  7.8154055893620011E-008                  9.9999999998764233E-001                  9.9999999995576061E-001                  3.4783816548244828E-001                  7.8154055893620011E-008                  9.9999999998764233E-001                  9.9999999995576061E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1789834440082149E+033                  6.4527832587743724E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7924141336150314E+000                 -2.6894512155956633E+001                 -9.8999999999999986E+001                  3.7924141336150310E+000                  4.4739404244777417E+000                  6.0024441825205331E+003                  3.7783281301891170E+000                  4.6454205259170117E-001                  4.5088050737174035E+000                  3.2270453877889373E+004                  3.6937604585325161E-006                  9.8470212212796813E-003                  7.5633994564836318E+000                  1.1828536166416690E+000                  1.6916483319466007E+001                  5.9429634375384077E-001                  8.7797285737525688E-001                  7.5594568517656524E-001                  2.4304239179303941E-001                  4.6690718413273441E-006                  3.3948152057125389E-004                  1.7208053054058287E-004                  4.6802233045694632E-004                  7.5662244905023277E+000                  2.4235707436017595E+000                  2.0382361477841218E+000                  3.7846969433668081E+000                 -2.6894512155956633E+001                  8.1580303508197839E-009                                        0                                        0                  9.9999959817061548E+000                  7.8154024489023833E-007                  2.9143523168841443E+000                  7.4555342626769061E-001                  1.5500178637810371E+000                  4.6761495030971645E+000                  4.1651671150153358E-003                  1.8000000000000000E+001                  4.0514047206596180E+004                  1.5000006697917661E+007                  6.7061287225772138E+005                  1.0000000000000001E-001                  1.0056825088303805E+000                  1.2571026308969959E+000                 -9.9998787922693599E-001                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999959817061548E+000                  8.0000000000000000E+000                 -1.0062277976198011E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0062277976198011E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  9.2902075210449526E+055                  2.5248122352594697E+050                  9.2902327691673051E+055                 -1.1334766307498874E+037                  0.0000000000000000E+000                 -1.7435652462235263E+019                 -1.1335838670278976E+037                  1.0723627801015801E+033                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      21                  7.1159342641299474E+004                  9.9999933322899253E+000                 -1.0063406368864836E+001                  4.0836249209524960E+000                                     1003                  3.4777297699674539E+000                  3.4626082366655075E-001                  7.8154076543768269E-008                  9.9999999998664857E-001                  9.9999999995438493E-001                  3.4626082366655075E-001                  7.8154076543768269E-008                  9.9999999998664857E-001                  9.9999999995438493E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1789834440082005E+033                  6.4527832587743816E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7888025157940541E+000                 -2.7034657817145941E+001                 -1.1564078571839584E+001                  3.7888025157940546E+000                  4.4727192580251147E+000                  6.0245611360897610E+003                  3.7799254158748861E+000                  4.6778302833984092E-001                  4.5023230071583775E+000                  3.1792377542904971E+004                  3.6355982794167552E-006                  9.8021987552827407E-003                  7.5609237777073179E+000                  1.1755612794661581E+000                  1.6906538921652590E+001                  5.9453335287833642E-001                  8.7769916784422675E-001                  7.5539830470158542E-001                  2.4359519132336674E-001                  5.1122311348918939E-006                  2.9668604682872845E-004                  1.7208053054058300E-004                  4.6802233045694692E-004                  7.5642976387731364E+000                  2.4255122799102535E+000                  2.0120185010992602E+000                  3.7814800664306532E+000                 -2.7034657817145941E+001                  5.4408806477346920E-009                                        0                                        0                  9.9999933322899253E+000                  7.8154024432895915E-007                  2.9361823813486629E+000                  7.4444486138111421E-001                  1.5476885107650811E+000                  4.6684812130626137E+000                  4.1885452307987604E-003                  2.1000000000000000E+001                  7.1159342641299474E+004                  1.5000011114113728E+007                  6.7061297097998147E+005                  1.0000000000000001E-001                  1.0056825088192416E+000                  1.2571022978241273E+000                 -9.9998778843691916E-001                 -9.9999999999999989E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999933322899253E+000                  8.0000000000000000E+000                 -1.0063406368864836E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0063406368864836E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  9.2902064272080463E+055                  2.5248070875585245E+050                  9.2902316752789220E+055                 -1.1305365078748227E+037                  0.0000000000000000E+000                 -1.7435635001682432E+019                 -1.1306427224077825E+037                  1.0621453295981284E+033                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      24                  1.2411441315246676E+005                  9.9999887762847255E+000                 -1.0066337567451185E+001                  4.3211686590953704E+000                                      992                  3.4690867314867728E+000                  3.4626098142333939E-001                  7.8154112181927360E-008                  9.9999999998664857E-001                  9.9999999995283584E-001                  3.4626098142333939E-001                  7.8154112181927360E-008                  9.9999999998664857E-001                  9.9999999995283584E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1789834440082045E+033                  6.4049405323664123E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7866785451235683E+000                 -2.7187296140018020E+001                 -9.8999999999999986E+001                  3.7866785451235683E+000                  4.4712368857109501E+000                  6.0379645075321041E+003                  3.7808905558172112E+000                  4.7123034293933147E-001                  4.4954281800944278E+000                  3.1291629545774278E+004                  3.5681656075202483E-006                  9.7371894621073006E-003                  7.5582142084217665E+000                  1.1672650107494009E+000                  1.6895255501360573E+001                  5.9494347560701188E-001                  8.7722597405663427E-001                  7.5445191546628221E-001                  2.4454846292636470E-001                  5.6722715346074075E-006                  2.4233398294605049E-004                  1.7208053054058311E-004                  4.6802233045694681E-004                  7.5609913674905789E+000                  2.4288358043356038E+000                  1.9877519310344145E+000                  3.7797230055573179E+000                 -2.7187296140018020E+001                  3.6238558265581145E-009                                        0                                        0                  9.9999887762847255E+000                  7.8154024463977090E-007                  2.9595817658105719E+000                  7.4350214741534493E-001                  1.5456610201654040E+000                  4.6607790587380782E+000                  4.2153013980999873E-003                  2.4000000000000000E+001                  1.2411441315246676E+005                  1.5000018708317162E+007                  6.7061314074521291E+005                  1.0000000000000001E-001                  1.0056825088002430E+000                  1.2571017250635366E+000                 -9.9998769112091468E-001                 -1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999887762847255E+000                  8.0000000000000000E+000                 -1.0066337567451185E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0066337567451185E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  9.2902045462153994E+055                  2.5247983042054013E+050                  9.2902297941984420E+055                 -1.1229333020591220E+037                  0.0000000000000000E+000                 -1.7435604949282193E+019                 -1.1230378999069672E+037                  1.0459784784526674E+033                  0.0000000000000000E+000                  0.0000000000000000E+000 
